Epochs,Accuracy,Validation Accuracy,Loss,Validation Loss
1,0.850806474685669,0.8923611044883728,0.4453750252723694,0.249797374010086
2,0.9087701439857484,0.9513888955116272,0.2282183766365051,0.1355837285518646
3,0.9410282373428344,0.9479166865348816,0.1481233090162277,0.1574031412601471
4,0.9541330933570862,0.96875,0.1117655709385871,0.0915846526622772
5,0.9702621102333068,0.9756944179534912,0.079950638115406,0.0888477712869644
6,0.984375,0.9618055820465088,0.0469419807195663,0.0996156856417656
7,0.9848790168762208,0.9756944179534912,0.0400012470781803,0.0929922312498092
8,0.9919354915618896,0.9791666865348816,0.0246162209659814,0.067352645099163
9,0.9909273982048036,0.96875,0.0212722010910511,0.1003642976284027
10,0.9974798560142516,0.9791666865348816,0.0104633206501603,0.0965408906340599
11,1.0,0.9826388955116272,0.0046216794289648,0.0979012623429298
12,1.0,0.9861111044883728,0.0017531153280287,0.088015928864479
13,0.9989919066429138,0.9409722089767456,0.0030762427486479,0.1865368485450744
14,0.992943525314331,0.9791666865348816,0.0207965113222599,0.0898669958114624
15,0.9984878897666932,0.9756944179534912,0.0071620750240981,0.1620295643806457
