Epochs,Accuracy,Validation Accuracy,Loss,Validation Loss
1,0.850806474685669,0.8923611044883728,0.4453750252723694,0.24979737401008606
2,0.9087701439857483,0.9513888955116272,0.22821837663650513,0.13558372855186462
3,0.9410282373428345,0.9479166865348816,0.14812330901622772,0.1574031412601471
4,0.9541330933570862,0.96875,0.11176557093858719,0.09158465266227722
5,0.9702621102333069,0.9756944179534912,0.07995063811540604,0.08884777128696442
6,0.984375,0.9618055820465088,0.046941980719566345,0.0996156856417656
7,0.9848790168762207,0.9756944179534912,0.04000124707818031,0.09299223124980927
8,0.9919354915618896,0.9791666865348816,0.024616220965981483,0.06735264509916306
9,0.9909273982048035,0.96875,0.0212722010910511,0.10036429762840271
10,0.9974798560142517,0.9791666865348816,0.010463320650160313,0.0965408906340599
11,1.0,0.9826388955116272,0.004621679428964853,0.09790126234292984
12,1.0,0.9861111044883728,0.001753115328028798,0.08801592886447906
13,0.9989919066429138,0.9409722089767456,0.0030762427486479282,0.18653684854507446
14,0.992943525314331,0.9791666865348816,0.020796511322259903,0.0898669958114624
15,0.9984878897666931,0.9756944179534912,0.007162075024098158,0.16202956438064575
