Epochs,Accuracy,Validation Accuracy,Loss,Validation Loss
1,0.8371976017951965,0.9097222089767456,0.36387428641319275,0.24941730499267578
2,0.9248992204666138,0.9583333134651184,0.19890983402729034,0.14387819170951843
3,0.9551411271095276,0.96875,0.11479534208774567,0.12330802530050278
4,0.9737903475761414,0.9895833134651184,0.07146462798118591,0.04565504938364029
5,0.9894153475761414,0.9756944179534912,0.03096942976117134,0.08622770756483078
6,0.9944556355476379,0.9756944179534912,0.015864675864577293,0.11058651655912399
7,0.9969757795333862,0.9861111044883728,0.010286926291882992,0.09665817767381668
8,0.9979838728904724,0.9930555820465088,0.007242346648126841,0.020726805552840233
9,1.0,0.9895833134651184,0.0006693893810734153,0.052188940346241
10,1.0,0.9965277910232544,0.0003972169361077249,0.016074875369668007
11,1.0,0.9791666865348816,0.00035718895378522575,0.1182742789387703
12,1.0,0.9930555820465088,0.0003254030307289213,0.027966370806097984
13,1.0,0.9826388955116272,0.0003790389164350927,0.17593783140182495
14,1.0,0.9861111044883728,6.637041951762512e-05,0.16920439898967743
15,1.0,0.9930555820465088,5.1137409172952175e-05,0.12866351008415222
16,1.0,0.9965277910232544,4.816713772015646e-05,0.042135532945394516
17,1.0,0.9895833134651184,4.011838245787658e-05,0.1414523720741272
18,1.0,1.0,3.139118416584097e-05,0.0041779931634664536
19,1.0,0.9930555820465088,3.1721825507702306e-05,0.04672038555145264
20,1.0,0.9895833134651184,2.803435745590832e-05,0.14181357622146606
21,1.0,0.9930555820465088,2.222048533440102e-05,0.016378212720155716
22,1.0,0.9861111044883728,2.0047396901645698e-05,0.12257763743400574
23,1.0,0.9930555820465088,2.1788653612020425e-05,0.10920120030641556
24,1.0,0.9895833134651184,1.6016467270674184e-05,0.14257489144802094
25,1.0,0.9895833134651184,1.9548568161553703e-05,0.11185362935066223
26,1.0,0.9930555820465088,1.5193831131909974e-05,0.10899578779935837
27,1.0,0.9861111044883728,1.327077279711375e-05,0.05771877244114876
28,1.0,0.9930555820465088,1.4727752386534121e-05,0.012543629854917526
29,1.0,0.9930555820465088,1.2926497220178135e-05,0.11450563371181488
30,1.0,0.9895833134651184,1.2087748473277315e-05,0.14976833760738373
31,1.0,0.9826388955116272,1.1477739462861791e-05,0.12735697627067566
32,1.0,0.9895833134651184,8.73785847943509e-06,0.05536876618862152
