Epochs,Accuracy,Validation Accuracy,Loss,Validation Loss
1,0.7479838728904724,0.8090277910232544,0.47340741753578186,0.43170788884162903
2,0.8346773982048035,0.8263888955116272,0.3365189731121063,0.36893531680107117
3,0.9022177457809448,0.8368055820465088,0.21860191226005554,0.35392364859580994
4,0.944556474685669,0.9166666865348816,0.1512766033411026,0.18725578486919403
5,0.9702621102333069,0.9340277910232544,0.08415018022060394,0.20622314512729645
6,0.9813507795333862,0.9201388955116272,0.049150511622428894,0.21043868362903595
7,0.9879032373428345,0.9409722089767456,0.03659173846244812,0.1884440928697586
8,0.9939516186714172,0.9513888955116272,0.023214010521769524,0.1430901139974594
9,0.9974798560142517,0.9479166865348816,0.012409988790750504,0.1554693579673767
10,0.9934476017951965,0.9513888955116272,0.020678147673606873,0.19935855269432068
11,0.9974798560142517,0.9618055820465088,0.00893632136285305,0.1848166137933731
12,0.9979838728904724,0.9618055820465088,0.011169126257300377,0.16247712075710297
13,0.9964717626571655,0.9444444179534912,0.012846636585891247,0.15387040376663208
14,0.9939516186714172,0.8784722089767456,0.023131446912884712,0.4231533408164978
15,0.9919354915618896,0.9618055820465088,0.025441739708185196,0.12553535401821136
16,1.0,0.9548611044883728,0.001421891851350665,0.1311841756105423
17,1.0,0.9652777910232544,0.00037618199712596834,0.11593829095363617
18,1.0,0.9652777910232544,0.00022113647719379514,0.11344575881958008
19,1.0,0.9548611044883728,0.0002852502220775932,0.20417197048664093
20,0.9994959831237793,0.9583333134651184,0.003739504376426339,0.25464996695518494
21,0.9939516186714172,0.9618055820465088,0.01566622406244278,0.1629219353199005
22,0.9994959831237793,0.9618055820465088,0.002570520155131817,0.17726090550422668
23,1.0,0.9756944179534912,0.00041158669046126306,0.13174401223659515
24,1.0,0.9756944179534912,0.00018009106861427426,0.17645280063152313
25,1.0,0.9652777910232544,0.00011271215771557763,0.17447899281978607
26,1.0,0.9618055820465088,0.00011772967263823375,0.21658018231391907
27,1.0,0.9583333134651184,9.596579184290022e-05,0.24569426476955414
28,1.0,0.96875,8.233700646087527e-05,0.15885430574417114
29,1.0,0.9618055820465088,8.456070645479485e-05,0.23120778799057007
30,1.0,0.96875,7.638019451405853e-05,0.21750444173812866
31,1.0,0.9791666865348816,4.307208291720599e-05,0.1890086531639099
32,1.0,0.96875,4.249533958500251e-05,0.26043403148651123
