Epochs,Accuracy,Validation Accuracy,Loss,Validation Loss
1,0.6965726017951965,0.78125,0.6296229958534241,0.5125060081481934
2,0.7615927457809448,0.7118055820465088,0.505390465259552,0.6206883788108826
3,0.8004032373428345,0.8229166865348816,0.4453851282596588,0.4061961770057678
4,0.8417338728904724,0.8263888955116272,0.34966176748275757,0.3774585723876953
5,0.8729838728904724,0.8680555820465088,0.28920814394950867,0.3632463216781616
6,0.9072580933570862,0.8576388955116272,0.22648361325263977,0.36403512954711914
7,0.9450604915618896,0.9131944179534912,0.14842358231544495,0.3107954263687134
8,0.9662298560142517,0.9236111044883728,0.10007325559854507,0.17562232911586761
9,0.9727822542190552,0.9375,0.07560307532548904,0.20768548548221588
10,0.9808467626571655,0.9340277910232544,0.05770348012447357,0.26733505725860596
11,0.9677419066429138,0.8784722089767456,0.07724836468696594,0.38735949993133545
12,0.992943525314331,0.9548611044883728,0.02475152537226677,0.2366260439157486
13,0.9954637289047241,0.9548611044883728,0.017766060307621956,0.28136369585990906
14,0.9889112710952759,0.9548611044883728,0.034604452550411224,0.24051359295845032
15,0.9858871102333069,0.9479166865348816,0.034233495593070984,0.3721422553062439
16,0.9959677457809448,0.9583333134651184,0.013159262016415596,0.24720658361911774
17,0.9989919066429138,0.9444444179534912,0.003980805166065693,0.3817062973976135
18,1.0,0.9583333134651184,0.0035683056339621544,0.41595980525016785
19,1.0,0.9513888955116272,0.001389412092976272,0.31986817717552185
20,1.0,0.9652777910232544,0.0006472908426076174,0.2524043023586273
21,0.9994959831237793,0.9513888955116272,0.0122390640899539,0.29018208384513855
22,0.9944556355476379,0.9618055820465088,0.017846472561359406,0.31469377875328064
23,0.9974798560142517,0.9618055820465088,0.011902546510100365,0.24314478039741516
24,1.0,0.9548611044883728,0.0025259717367589474,0.2076108306646347
25,1.0,0.9652777910232544,0.000697147159371525,0.16315168142318726
26,1.0,0.9618055820465088,0.0002422588731860742,0.2341800034046173
27,1.0,0.9548611044883728,0.00018945083138532937,0.35704535245895386
28,1.0,0.9826388955116272,0.00014018136425875127,0.12800544500350952
29,1.0,0.9618055820465088,0.00010904820373980328,0.31735190749168396
30,1.0,0.9548611044883728,9.540694009047002e-05,0.2611198127269745
31,1.0,0.9722222089767456,7.571050082333386e-05,0.11792569607496262
32,1.0,0.9652777910232544,6.911509262863547e-05,0.368550181388855
